"FAMILY_STD","SPECIES_STD","GROWTHFORM_STD","GROWTHFORM_DIV"
"Fabaceae","Acacia podalyriifolia","Tree","Tree"
"Sapindaceae","Acer rubrum","Tree","Herb_Tree"
"Opiliaceae","Agonandra peruviana","Tree","Shrub_Tree"
"Euphorbiaceae","Alchornea grandis","Tree","Shrub_Tree"
"Amaranthaceae","Amaranthus hybridus","Herb","Tree_Shrub_Herb"
"Apiaceae","Ammi visnaga","Herb","Shrub_Herb"
"Rutaceae","Amyris elemifera","Tree","Shrub_Tree"
"Annonaceae","Annona reticulata","Tree","Shrub_Tree"
"Ranunculaceae","Aquilegia formosa","Herb","Herb"
"Asteraceae","Artemisia biennis","Herb","Herb"
"Fabaceae","Astragalus newberryi","Herb","Herb"
"Moraceae","Brosimum parinarioides","Tree","Tree"
"Brassicaceae","Camelina sativa","Herb","Herb"
"Fagaceae","Castanea mollissima","Tree","Tree"
"Apiaceae","Chaerophyllum tainturieri","Herb","Herb"
"Euphorbiaceae","Chaetocarpus schomburgkianus","Tree","Shrub_Tree"
"Montiaceae","Claytonia perfoliata","Herb","Herb"
"Myristicaceae","Compsoneura capitellata","Tree","Shrub_Tree"
"Cornaceae","Cornus racemosa","Shrub","Shrub"
"Fabaceae","Crotalaria virgulata","Herb","Herb"
"Cyperaceae","Cyperus squarrosus","Herb","Herb"
"Annonaceae","Desmopsis microcarpa","Tree","Shrub_Tree"
"Lamiaceae","Elsholtzia ciliata","Herb","Herb"
"Annonaceae","Ephedranthus amazonicus","Tree","Tree"
"Fabaceae","Erythrina smithiana","Tree","Shrub_Vine_Tree"
"Lecythidaceae","Eschweilera rufifolia","Tree","Liana_Shrub_Tree"
"Polygonaceae","Fallopia dumetorum","Herb","Herb"
"Rubiaceae","Faramea occidentalis","Tree","Herb_Vine_Shrub_Tree"
"Nyctaginaceae","Guapira cuspidata","Tree","Tree"
"Annonaceae","Guatteria oliviformis","Tree","Shrub_Tree"
"Boraginaceae","Hackelia deflexa","Herb","Herb"
"Asteraceae","Helianthus maximiliani","Herb","Herb"
"Asteraceae","Helianthus radula","Herb","Herb"
"Amaranthaceae","Iresine arbuscula","Tree","Herb_Non-woody epiphyte_Shrub_Tree"
"Bignoniaceae","Jacaranda hesperia","Tree","Tree"
"Bignoniaceae","Jacaranda puberula","Tree","Shrub_Tree"
"Caricaceae","Jacaratia mexicana","Tree","Tree"
"Juncaceae","Juncus alpinoarticulatus","Herb","Herb"
"Brassicaceae","Lepidium lasiocarpum","Herb","Herb"
"Poaceae","Leymus chinensis","Herb","Herb"
"Chrysobalanaceae","Licania apetala","Tree","Shrub_Tree"
"Lauraceae","Licaria triandra","Tree","Shrub_Tree"
"Oleaceae","Ligustrum vulgare","Shrub","Shrub"
"Fabaceae","Lupinus succulentus","Herb","Herb"
"Ericaceae","Macleania rupestris","Shrub","Woody epiphyte_Herb_Tree_Liana_Vine_Non-woody epiphyte_Shrub"
"Melastomataceae","Miconia tomentosa","Tree","Shrub_Tree"
"Poaceae","Nassella trichotoma","Herb","Herb"
"Poaceae","Nassella viridula","Herb","Herb"
"Lauraceae","Ocotea leucoxylon","Tree","Shrub_Tree"
"Fabaceae","Pachyrhizus erosus","Vine","Tree_Liana_Vine"
"Fabaceae","Parapiptadenia rigida","Tree","Shrub_Tree"
"Fabaceae","Paraserianthes lophantha","Tree","Tree"
"Fabaceae","Parkia gigantocarpa","Tree","Tree"
"Fabaceae","Pentaclethra macroloba","Tree","Shrub_Tree"
"Lauraceae","Persea liebmannii","Tree","Shrub_Tree"
"Fabaceae","Piptadenia viridiflora","Tree","Shrub_Tree"
"Polygalaceae","Polygala cruciata","Herb","Herb"
"Polygonaceae","Polygonum parryi","Herb","Herb"
"Sapotaceae","Pouteria macrophylla","Tree","Shrub_Tree"
"Sapotaceae","Pradosia schomburgkiana","Tree","Tree"
"Liliaceae","Prosartes smithii","Herb","Herb"
"Burseraceae","Protium spruceanum","Tree","Tree"
"Fabaceae","Pseudopiptadenia pittieri","Tree","Tree"
"Rhamnaceae","Rhamnus alnifolia","Shrub","Shrub"
"Lauraceae","Rhodostemonodaphne kunthiana","Tree","Shrub_Tree"
"Rubiaceae","Rudgea jasminoides","Tree","Shrub_Tree"
"Salicaceae","Salix nigra","Tree","Tree"
"Lamiaceae","Salvia carduacea","Herb","Herb"
"Iridaceae","Sisyrinchium longipes","Herb","Herb"
"Typhaceae","Sparganium erectum","Herb","Herb"
"Amaranthaceae","Spinacia oleracea","Herb","Herb"
"Anacardiaceae","Spondias purpurea","Tree","Herb_Shrub_Tree"
"Brassicaceae","Streptanthella longirostris","Herb","Herb"
"Fabaceae","Swartzia benthamiana","Tree","Shrub_Tree"
"Meliaceae","Swietenia mahagoni","Tree","Tree"
"Meliaceae","Trichilia maynasiana","Tree","Shrub_Tree"
"Lamiaceae","Trichostema lanatum","Shrub","Herb_Shrub"
"Ericaceae","Vaccinium euryanthum","Shrub","Shrub"
"Plantaginaceae","Veronica fruticans","Shrub","Herb_Shrub"
"Annonaceae","Xylopia macrantha","Tree","Tree"
"Primulaceae","Myrsine africana","Shrub","Shrub"
"Salicaceae","Salix hookeriana","Shrub","Shrub"
"Asteraceae","Coleostephus myconis","Herb","Herb"
"Polygonaceae","Eriogonum ovalifolium","Herb","Herb"
"Melianthaceae","Melianthus major","Shrub","Shrub"
"Ochnaceae","Ouratea hexasperma","Shrub","Shrub"
"Loganiaceae","Strychnos bredemeyeri","Shrub","Shrub"
"Malvaceae","Abutilon indicum","Shrub","Shrub"
"Malvaceae","Abutilon menziesii","Shrub","Shrub"
"Malvaceae","Abutilon mollissimum","Shrub","Shrub"
"Malvaceae","Abutilon palmeri","Shrub","Shrub"
"Malvaceae","Abutilon pauciflorum","Shrub","Herb_Shrub"
"Malvaceae","Abutilon pictum","Shrub","Herb_Tree_Shrub"
"Malvaceae","Abutilon purpusii","Shrub","Shrub"
"Malvaceae","Abutilon reflexum","Shrub","Herb_Shrub"
"Malvaceae","Abutilon sandwicense","Shrub","Shrub"
"Malvaceae","Abutilon striatum","Tree","Shrub_Tree"
"Malvaceae","Abutilon theophrasti","Herb","Shrub_Herb"
"Malvaceae","Abutilon umbelliflorum","Shrub","Tree_Shrub"
"Orchidaceae","Acacallis fimbriata","Non-woody epiphyte","Non-woody epiphyte"
"Fabaceae","Acacia acatlensis","Tree","Shrub_Tree"
"Fabaceae","Acacia amentacea","Shrub","Shrub"
"Fabaceae","Acacia anegadensis","Tree","Tree"
"Fabaceae","Acacia auriculiformis","Tree","Tree"
"Fabaceae","Acacia bilimekii","Shrub","Shrub"
"Fabaceae","Acacia catechu","Tree","Tree"
"Fabaceae","Acacia chiapensis","Tree","Shrub_Tree"
"Fabaceae","Acacia confusa","Tree","Tree"
"Fabaceae","Acacia constricta","Shrub","Herb_Tree_Shrub"
"Fabaceae","Acacia coulteri","Tree","Tree"
"Fabaceae","Acacia curvifructa","Tree","Shrub_Tree"
"Fabaceae","Acacia cyclops","Shrub","Shrub"
"Fabaceae","Acacia dealbata","Tree","Tree"
"Fabaceae","Acacia decurrens","Tree","Tree"
"Fabaceae","Acacia elata","Tree","Tree"
"Fabaceae","Acacia gaumeri","Tree","Vine_Shrub_Tree"
"Fabaceae","Acacia gentlei","Tree","Shrub_Tree"
"Fabaceae","Acacia glauca","Shrub","Herb_Tree_Shrub"
"Fabaceae","Acacia globulifera","Shrub","Herb_Shrub"
"Fabaceae","Acacia huberi","Liana","Liana"
"Fabaceae","Acacia klugii","Liana","Tree_Liana"
"Fabaceae","Acacia koa","Tree","Tree"
"Fabaceae","Acacia koaia","Tree","Tree"
"Fabaceae","Acacia kuhlmannii","Liana","Tree_Vine_Liana"
"Fabaceae","Acacia mangium","Tree","Shrub_Tree"
"Fabaceae","Acacia mayana","Tree","Shrub_Tree"
"Fabaceae","Acacia mearnsii","Tree","Tree"
"Fabaceae","Acacia melanoceras","Tree","Shrub_Tree"
"Fabaceae","Acacia melanoxylon","Tree","Shrub_Tree"
"Fabaceae","Acacia muricata","Tree","Tree"
"Fabaceae","Acacia neovernicosa","Shrub","Tree_Shrub"
"Fabaceae","Acacia nilotica","Tree","Tree"
"Fabaceae","Acacia paradoxa","Shrub","Tree_Shrub"
"Fabaceae","Acacia pennatula","Tree","Shrub_Tree"
"Fabaceae","Acacia picachensis","Tree","Shrub_Tree"
"Fabaceae","Acacia podalyriifolia","Tree","Tree"
"Fabaceae","Acacia polyacantha","Tree","Tree"
"Fabaceae","Acacia pringlei","Tree","Tree"
"Fabaceae","Acacia retinodes","Tree","Tree"
"Fabaceae","Acacia rosei","Shrub","Shrub"
"Fabaceae","Acacia schaffneri","Shrub","Tree_Shrub"
"Fabaceae","Acacia schottii","Shrub","Shrub"
