"species","Biome"
"Acacia_podalyriifolia","Moist_Forest"
"Acer_rubrum","Coniferous_Forests"
"Acer_rubrum","Savannas"
"Acer_rubrum","Taiga"
"Acer_rubrum","Temperate_Grasslands"
"Acer_rubrum","Temperate_Mixed"
"Agonandra_peruviana","Dry_Forest"
"Agonandra_peruviana","Moist_Forest"
"Agonandra_peruviana","Savannas"
"Agonandra_peruviana","Tropical_Grasslands"
"Agonandra_peruviana","Xeric_Woodlands"
"Alchornea_grandis","Dry_Forest"
"Alchornea_grandis","Moist_Forest"
"Alchornea_grandis","Savannas"
"Alchornea_grandis","Tropical_Grasslands"
"Alchornea_grandis","Xeric_Woodlands"
"Amaranthus_hybridus","Coniferous_Forests"
"Amaranthus_hybridus","Dry_Forest"
"Amaranthus_hybridus","Mediterranean_Woodlands"
"Amaranthus_hybridus","Moist_Forest"
"Amaranthus_hybridus","Savannas"
"Amaranthus_hybridus","Taiga"
"Amaranthus_hybridus","Temperate_Grasslands"
"Amaranthus_hybridus","Temperate_Mixed"
"Amaranthus_hybridus","Tropical_Grasslands"
"Amaranthus_hybridus","Tundra"
"Amaranthus_hybridus","Xeric_Woodlands"
"Ammi_visnaga","Dry_Forest"
"Ammi_visnaga","Moist_Forest"
"Ammi_visnaga","Savannas"
"Ammi_visnaga","Temperate_Grasslands"
"Ammi_visnaga","Tropical_Grasslands"
"Ammi_visnaga","Xeric_Woodlands"
"Amyris_elemifera","Coniferous_Forests"
"Amyris_elemifera","Dry_Forest"
"Amyris_elemifera","Moist_Forest"
"Amyris_elemifera","Savannas"
"Annona_reticulata","Dry_Forest"
"Annona_reticulata","Moist_Forest"
"Aquilegia_formosa","Coniferous_Forests"
"Aquilegia_formosa","Mediterranean_Woodlands"
"Aquilegia_formosa","Taiga"
"Aquilegia_formosa","Xeric_Woodlands"
"Artemisia_biennis","Coniferous_Forests"
"Artemisia_biennis","Dry_Forest"
"Artemisia_biennis","Mediterranean_Woodlands"
"Artemisia_biennis","Temperate_Grasslands"
"Artemisia_biennis","Temperate_Mixed"
"Artemisia_biennis","Xeric_Woodlands"
"Astragalus_newberryi","Coniferous_Forests"
"Astragalus_newberryi","Xeric_Woodlands"
"Brosimum_parinarioides","Dry_Forest"
"Brosimum_parinarioides","Moist_Forest"
"Brosimum_parinarioides","Savannas"
"Brosimum_parinarioides","Tropical_Grasslands"
"Camelina_sativa","Coniferous_Forests"
"Camelina_sativa","Mediterranean_Woodlands"
"Camelina_sativa","Savannas"
"Camelina_sativa","Taiga"
"Camelina_sativa","Temperate_Grasslands"
"Camelina_sativa","Temperate_Mixed"
"Camelina_sativa","Tundra"
"Camelina_sativa","Xeric_Woodlands"
"Casearia_grandiflora","Dry_Forest"
"Casearia_grandiflora","Moist_Forest"
"Casearia_grandiflora","Savannas"
"Casearia_grandiflora","Xeric_Woodlands"
"Castanea_mollissima","Coniferous_Forests"
"Castanea_mollissima","Savannas"
"Castanea_mollissima","Taiga"
"Castanea_mollissima","Temperate_Grasslands"
"Castanea_mollissima","Temperate_Mixed"
"Chaerophyllum_tainturieri","Coniferous_Forests"
"Chaerophyllum_tainturieri","Dry_Forest"
"Chaerophyllum_tainturieri","Savannas"
"Chaerophyllum_tainturieri","Temperate_Grasslands"
"Chaerophyllum_tainturieri","Temperate_Mixed"
"Chaerophyllum_tainturieri","Xeric_Woodlands"
"Chaetocarpus_schomburgkianus","Dry_Forest"
"Chaetocarpus_schomburgkianus","Moist_Forest"
"Chaetocarpus_schomburgkianus","Savannas"
"Chaetocarpus_schomburgkianus","Xeric_Woodlands"
"Chrysophyllum_viride","Moist_Forest"
"Claytonia_perfoliata","Coniferous_Forests"
"Claytonia_perfoliata","Dry_Forest"
"Claytonia_perfoliata","Mediterranean_Woodlands"
"Claytonia_perfoliata","Moist_Forest"
"Claytonia_perfoliata","Xeric_Woodlands"
"Coleostephus_myconis","Savannas"
"Compsoneura_capitellata","Dry_Forest"
"Compsoneura_capitellata","Moist_Forest"
"Compsoneura_capitellata","Savannas"
"Compsoneura_capitellata","Tropical_Grasslands"
"Cornus_racemosa","Taiga"
"Cornus_racemosa","Temperate_Grasslands"
"Cornus_racemosa","Temperate_Mixed"
"Cyperus_squarrosus","Coniferous_Forests"
"Cyperus_squarrosus","Dry_Forest"
"Cyperus_squarrosus","Mediterranean_Woodlands"
"Cyperus_squarrosus","Moist_Forest"
"Cyperus_squarrosus","Temperate_Grasslands"
"Cyperus_squarrosus","Temperate_Mixed"
"Cyperus_squarrosus","Xeric_Woodlands"
"Desmopsis_microcarpa","Dry_Forest"
"Desmopsis_microcarpa","Moist_Forest"
"Elsholtzia_ciliata","Taiga"
"Elsholtzia_ciliata","Temperate_Mixed"
"Ephedranthus_amazonicus","Moist_Forest"
"Eriogonum_ovalifolium","Coniferous_Forests"
"Eriogonum_ovalifolium","Mediterranean_Woodlands"
"Eriogonum_ovalifolium","Temperate_Grasslands"
"Eriogonum_ovalifolium","Xeric_Woodlands"
"Erythrina_smithiana","Dry_Forest"
"Erythrina_smithiana","Moist_Forest"
"Eschweilera_rufifolia","Dry_Forest"
"Eschweilera_rufifolia","Moist_Forest"
"Eschweilera_rufifolia","Savannas"
"Eschweilera_rufifolia","Tropical_Grasslands"
"Eschweilera_rufifolia","Xeric_Woodlands"
"Eugenia_luschnathiana","Moist_Forest"
"Fallopia_dumetorum","Temperate_Grasslands"
"Faramea_occidentalis","Dry_Forest"
"Faramea_occidentalis","Moist_Forest"
"Faramea_occidentalis","Savannas"
"Faramea_occidentalis","Tropical_Grasslands"
"Faramea_occidentalis","Xeric_Woodlands"
"Guapira_cuspidata","Dry_Forest"
"Guapira_cuspidata","Mediterranean_Woodlands"
"Guapira_cuspidata","Moist_Forest"
"Guapira_cuspidata","Savannas"
"Guapira_cuspidata","Temperate_Grasslands"
"Guapira_cuspidata","Tropical_Grasslands"
"Guapira_cuspidata","Xeric_Woodlands"
"Guatteria_oliviformis","Dry_Forest"
"Guatteria_oliviformis","Moist_Forest"
"Hackelia_deflexa","Coniferous_Forests"
"Hackelia_deflexa","Taiga"
"Hackelia_deflexa","Temperate_Grasslands"
"Hackelia_deflexa","Temperate_Mixed"
"Hackelia_deflexa","Xeric_Woodlands"
"Helianthus_maximiliani","Coniferous_Forests"
"Helianthus_maximiliani","Temperate_Grasslands"
"Helianthus_maximiliani","Temperate_Mixed"
"Helianthus_radula","Coniferous_Forests"
"Iresine_arbuscula","Dry_Forest"
"Iresine_arbuscula","Moist_Forest"
"Iresine_arbuscula","Xeric_Woodlands"
"Jacaranda_hesperia","Dry_Forest"
"Jacaranda_hesperia","Moist_Forest"
"Jacaranda_hesperia","Xeric_Woodlands"
"Jacaranda_puberula","Moist_Forest"
"Jacaranda_puberula","Savannas"
"Jacaratia_mexicana","Dry_Forest"
"Jacaratia_mexicana","Moist_Forest"
"Juncus_alpinoarticulatus","Coniferous_Forests"
"Juncus_alpinoarticulatus","Taiga"
"Juncus_alpinoarticulatus","Temperate_Grasslands"
"Juncus_alpinoarticulatus","Temperate_Mixed"
"Juncus_alpinoarticulatus","Tundra"
"Juncus_alpinoarticulatus","Xeric_Woodlands"
"Lepidium_lasiocarpum","Coniferous_Forests"
"Lepidium_lasiocarpum","Dry_Forest"
"Lepidium_lasiocarpum","Mediterranean_Woodlands"
"Lepidium_lasiocarpum","Moist_Forest"
"Lepidium_lasiocarpum","Savannas"
"Lepidium_lasiocarpum","Temperate_Grasslands"
"Lepidium_lasiocarpum","Xeric_Woodlands"
"Leymus_chinensis","Xeric_Woodlands"
"Licania_apetala","Dry_Forest"
"Licania_apetala","Moist_Forest"
"Licania_apetala","Savannas"
"Licania_apetala","Tropical_Grasslands"
"Licania_apetala","Xeric_Woodlands"
"Licaria_triandra","Dry_Forest"
"Licaria_triandra","Moist_Forest"
"Licaria_triandra","Savannas"
"Licaria_triandra","Tropical_Grasslands"
"Licaria_triandra","Xeric_Woodlands"
"Ligustrum_vulgare","Temperate_Mixed"
"Lupinus_succulentus","Coniferous_Forests"
"Lupinus_succulentus","Mediterranean_Woodlands"
"Lupinus_succulentus","Xeric_Woodlands"
"Macleania_rupestris","Dry_Forest"
"Macleania_rupestris","Moist_Forest"
"Macleania_rupestris","Tropical_Grasslands"
"Macleania_rupestris","Xeric_Woodlands"
"Melianthus_major","Tropical_Grasslands"
"Miconia_tomentosa","Dry_Forest"
"Miconia_tomentosa","Moist_Forest"
"Miconia_tomentosa","Savannas"
"Miconia_tomentosa","Tropical_Grasslands"
"Miconia_tomentosa","Xeric_Woodlands"
"Myrsine_africana","Coniferous_Forests"
"Myrsine_dependens","Dry_Forest"
"Myrsine_dependens","Moist_Forest"
"Myrsine_dependens","Savannas"
"Myrsine_dependens","Tropical_Grasslands"
"Myrsine_dependens","Xeric_Woodlands"
"Nassella_trichotoma","Savannas"
"Nassella_trichotoma","Temperate_Grasslands"
"Nassella_viridula","Coniferous_Forests"
"Nassella_viridula","Taiga"
"Nassella_viridula","Temperate_Grasslands"
"Nassella_viridula","Xeric_Woodlands"
"Ocotea_leucoxylon","Moist_Forest"
"Ocotea_leucoxylon","Savannas"
"Opuntia_basilaris","Coniferous_Forests"
"Opuntia_basilaris","Mediterranean_Woodlands"
"Opuntia_basilaris","Xeric_Woodlands"
"Ouratea_hexasperma","Moist_Forest"
"Ouratea_hexasperma","Savannas"
"Ouratea_hexasperma","Xeric_Woodlands"
"Oxandra_asbeckii","Moist_Forest"
"Oxandra_asbeckii","Savannas"
"Pachyrhizus_erosus","Coniferous_Forests"
"Pachyrhizus_erosus","Dry_Forest"
"Pachyrhizus_erosus","Mediterranean_Woodlands"
"Pachyrhizus_erosus","Moist_Forest"
"Pachyrhizus_erosus","Savannas"
"Pachyrhizus_erosus","Temperate_Grasslands"
"Pachyrhizus_erosus","Temperate_Mixed"
"Pachyrhizus_erosus","Tropical_Grasslands"
"Pachyrhizus_erosus","Xeric_Woodlands"
"Parapiptadenia_rigida","Dry_Forest"
"Parapiptadenia_rigida","Moist_Forest"
"Parapiptadenia_rigida","Savannas"
"Paraserianthes_lophantha","Dry_Forest"
"Paraserianthes_lophantha","Moist_Forest"
"Paraserianthes_lophantha","Tropical_Grasslands"
"Parkia_gigantocarpa","Moist_Forest"
"Pentaclethra_macroloba","Dry_Forest"
"Pentaclethra_macroloba","Moist_Forest"
"Pentaclethra_macroloba","Savannas"
"Pentaclethra_macroloba","Xeric_Woodlands"
"Persea_liebmannii","Dry_Forest"
"Persea_liebmannii","Moist_Forest"
"Persea_liebmannii","Xeric_Woodlands"
"Piptadenia_viridiflora","Dry_Forest"
"Piptadenia_viridiflora","Moist_Forest"
"Piptadenia_viridiflora","Savannas"
"Piptadenia_viridiflora","Tropical_Grasslands"
"Piptadenia_viridiflora","Xeric_Woodlands"
"Pleiacanthus_spinosus","Coniferous_Forests"
"Pleiacanthus_spinosus","Xeric_Woodlands"
"Polygala_cruciata","Coniferous_Forests"
"Polygala_cruciata","Temperate_Mixed"
"Polygonum_parryi","Coniferous_Forests"
"Pouteria_macrophylla","Dry_Forest"
"Pouteria_macrophylla","Moist_Forest"
"Pouteria_macrophylla","Savannas"
"Pouteria_macrophylla","Tropical_Grasslands"
"Pouteria_macrophylla","Xeric_Woodlands"
"Pradosia_schomburgkiana","Dry_Forest"
"Pradosia_schomburgkiana","Moist_Forest"
"Pradosia_schomburgkiana","Savannas"
"Prosartes_smithii","Coniferous_Forests"
"Protium_spruceanum","Moist_Forest"
"Protium_spruceanum","Savannas"
"Pseudopiptadenia_pittieri","Dry_Forest"
"Pseudopiptadenia_pittieri","Moist_Forest"
"Pseudopiptadenia_pittieri","Savannas"
"Pseudopiptadenia_pittieri","Xeric_Woodlands"
"Rhamnus_alnifolia","Coniferous_Forests"
"Rhamnus_alnifolia","Mediterranean_Woodlands"
"Rhamnus_alnifolia","Taiga"
"Rhamnus_alnifolia","Temperate_Grasslands"
"Rhamnus_alnifolia","Temperate_Mixed"
"Rhamnus_alnifolia","Tundra"
"Rhamnus_alnifolia","Xeric_Woodlands"
"Rhodostemonodaphne_kunthiana","Dry_Forest"
"Rhodostemonodaphne_kunthiana","Moist_Forest"
"Rhodostemonodaphne_kunthiana","Tropical_Grasslands"
"Rhodostemonodaphne_kunthiana","Xeric_Woodlands"
"Rubus_megalococcus","Dry_Forest"
"Rubus_megalococcus","Moist_Forest"
"Rubus_megalococcus","Tropical_Grasslands"
"Rubus_megalococcus","Xeric_Woodlands"
"Rudgea_jasminoides","Moist_Forest"
"Rudgea_jasminoides","Savannas"
"Salix_floridana","Coniferous_Forests"
"Salix_glauca","Coniferous_Forests"
"Salix_glauca","Mediterranean_Woodlands"
"Salix_glauca","Taiga"
"Salix_glauca","Temperate_Grasslands"
"Salix_glauca","Temperate_Mixed"
"Salix_glauca","Tundra"
"Salix_glauca","Xeric_Woodlands"
"Salix_hookeriana","Coniferous_Forests"
"Salix_hookeriana","Xeric_Woodlands"
"Salix_nigra","Coniferous_Forests"
"Salix_nigra","Dry_Forest"
"Salix_nigra","Mediterranean_Woodlands"
"Salix_nigra","Moist_Forest"
"Salix_nigra","Savannas"
"Salix_nigra","Taiga"
"Salix_nigra","Temperate_Grasslands"
"Salix_nigra","Temperate_Mixed"
"Salix_nigra","Xeric_Woodlands"
"Salvia_carduacea","Mediterranean_Woodlands"
"Salvia_carduacea","Xeric_Woodlands"
"Sisyrinchium_longipes","Coniferous_Forests"
"Sisyrinchium_longipes","Xeric_Woodlands"
"Sparganium_erectum","Temperate_Mixed"
"Sphaeralcea_parvifolia","Coniferous_Forests"
"Sphaeralcea_parvifolia","Temperate_Grasslands"
"Sphaeralcea_parvifolia","Xeric_Woodlands"
"Spinacia_oleracea","Dry_Forest"
"Spinacia_oleracea","Moist_Forest"
"Spinacia_oleracea","Savannas"
"Spinacia_oleracea","Tropical_Grasslands"
"Spondias_purpurea","Dry_Forest"
"Spondias_purpurea","Moist_Forest"
"Staphylea_trifolia","Coniferous_Forests"
"Staphylea_trifolia","Taiga"
"Staphylea_trifolia","Temperate_Grasslands"
"Staphylea_trifolia","Temperate_Mixed"
"Streptanthella_longirostris","Coniferous_Forests"
"Streptanthella_longirostris","Mediterranean_Woodlands"
"Streptanthella_longirostris","Xeric_Woodlands"
"Strychnos_bredemeyeri","Dry_Forest"
"Strychnos_bredemeyeri","Moist_Forest"
"Strychnos_bredemeyeri","Savannas"
"Strychnos_bredemeyeri","Xeric_Woodlands"
"Swartzia_benthamiana","Moist_Forest"
"Swartzia_benthamiana","Savannas"
"Swietenia_mahagoni","Moist_Forest"
"Trichilia_maynasiana","Dry_Forest"
"Trichilia_maynasiana","Moist_Forest"
"Trichilia_maynasiana","Savannas"
"Trichilia_maynasiana","Tropical_Grasslands"
"Trichostema_lanatum","Coniferous_Forests"
"Trichostema_lanatum","Mediterranean_Woodlands"
"Trichostema_lanatum","Xeric_Woodlands"
"Vaccinium_euryanthum","Moist_Forest"
"Vaccinium_euryanthum","Savannas"
"Veronica_fruticans","Tundra"
"Xylopia_macrantha","Dry_Forest"
"Xylopia_macrantha","Moist_Forest"
"Xylopia_macrantha","Savannas"
"Xylopia_macrantha","Xeric_Woodlands"
"Yucca_rostrata","Dry_Forest"
"Yucca_rostrata","Savannas"
"Yucca_rostrata","Temperate_Grasslands"
"Yucca_rostrata","Xeric_Woodlands"
"Abarema_curvicarpa","Moist_Forest"
"Abies_vejarii","Dry_Forest"
"Abies_vejarii","Xeric_Woodlands"
"Abronia_latifolia","Coniferous_Forests"
"Abronia_latifolia","Mediterranean_Woodlands"
"Abronia_latifolia","Xeric_Woodlands"
"Abronia_maritima","Dry_Forest"
"Abronia_maritima","Xeric_Woodlands"
"Abronia_pogonantha","Mediterranean_Woodlands"
"Abronia_umbellata","Coniferous_Forests"
"Abronia_umbellata","Mediterranean_Woodlands"
"Abrus_precatorius","Coniferous_Forests"
"Abrus_precatorius","Dry_Forest"
"Abrus_precatorius","Moist_Forest"
"Abrus_precatorius","Savannas"
"Abrus_precatorius","Tropical_Grasslands"
"Abrus_precatorius","Xeric_Woodlands"
"Abuta_grandifolia","Dry_Forest"
"Abuta_grandifolia","Moist_Forest"
"Abuta_grandifolia","Savannas"
"Abuta_grandifolia","Tropical_Grasslands"
"Abuta_grandifolia","Xeric_Woodlands"
"Abuta_panamensis","Moist_Forest"
"Abrus_precatorius","Dry_Forest"
"Abrus_precatorius","Moist_Forest"
"Abrus_precatorius","Savannas"
"Abrus_precatorius","Tropical_Grasslands"
"Abrus_precatorius","Xeric_Woodlands"
"Abuta_grandifolia","Dry_Forest"
"Abuta_grandifolia","Moist_Forest"
"Abuta_grandifolia","Savannas"
"Abuta_grandifolia","Tropical_Grasslands"
"Abuta_grandifolia","Xeric_Woodlands"
"Abuta_panamensis","Moist_Forest"
"Abuta_rufescens","Dry_Forest"
"Abuta_rufescens","Moist_Forest"
"Abuta_rufescens","Savannas"
"Abuta_rufescens","Tropical_Grasslands"
"Abuta_rufescens","Xeric_Woodlands"
"Abutilon_abutiloides","Dry_Forest"
"Abutilon_abutiloides","Xeric_Woodlands"
"Abutilon_incanum","Coniferous_Forests"
"Abutilon_incanum","Dry_Forest"
"Abutilon_incanum","Mediterranean_Woodlands"
"Abutilon_incanum","Xeric_Woodlands"
"Abutilon_theophrasti","Coniferous_Forests"
"Abutilon_theophrasti","Dry_Forest"
"Abutilon_theophrasti","Mediterranean_Woodlands"
"Abutilon_theophrasti","Xeric_Woodlands"
"Abutilon_trisulcatum","Dry_Forest"
"Acacia_dealbata","Dry_Forest"
"Acacia_dealbata","Mediterranean_Woodlands"
"Acacia_dealbata","Moist_Forest"
"Acacia_dealbata","Savannas"
"Acacia_dealbata","Temperate_Grasslands"
"Acacia_dealbata","Temperate_Mixed"
