"","Root","Fruit","Grazing","logvar"
"1",4.919,14.73,"Ungrazed",2.68988623047454
"2",5.13,19.28,"Ungrazed",2.9590682891824
"3",5.417,34.25,"Ungrazed",3.53368656470823
"4",5.359,35.53,"Ungrazed",3.57037741003294
"5",7.614,87.73,"Ungrazed",4.47426391614029
"6",4.975,24.25,"Ungrazed",3.18841661738349
"7",5.451,32.35,"Ungrazed",3.47661402094691
"8",5.928,54.86,"Ungrazed",4.00478448550946
"9",7.001,80.64,"Ungrazed",4.38999480432306
"10",4.426,18.89,"Ungrazed",2.93863268151342
"11",5.836,46.73,"Ungrazed",3.84438635671233
"12",10.253,116.05,"Grazed",4.75402113272045
"13",9.039,84.37,"Grazed",4.43521188817754
"14",8.988,80.31,"Grazed",4.38589414620037
"15",8.975,82.35,"Grazed",4.41097845662365
"16",9.844,105.07,"Grazed",4.65462679470068
"17",9.351,98.47,"Grazed",4.58975193325971
"18",8.53,83.03,"Grazed",4.41920198827394
