"","block","treatment","Total_sp","Total_abundance","year"
"1","Black Rock","1 Control",88,124,2012
"2","Black Rock","2 Light ",113,191,2012
"3","Black Rock","3 Moderate ",69,115,2012
"4","Black Rock","4 Intensive",98,175,2012
"5","Forest Grove","1 Control",37,54,2012
"6","Forest Grove","2 Light ",83,142,2012
"7","Forest Grove","3 Moderate ",20,31,2012
"8","Forest Grove","4 Intensive",38,136,2012
"9","Grande Ronde","1 Control",98,171,2012
"10","Grande Ronde","2 Light ",102,218,2012
"11","Grande Ronde","3 Moderate ",84,179,2012
"12","Grande Ronde","4 Intensive",102,171,2012
"13","Luckiamute","1 Control",100,229,2012
"14","Luckiamute","2 Light ",84,163,2012
"15","Luckiamute","3 Moderate ",95,151,2012
"16","Luckiamute","4 Intensive",107,287,2012
"17","Siletz","1 Control",103,315,2012
"18","Siletz","2 Light ",123,309,2012
"19","Siletz","3 Moderate ",97,323,2012
"20","Siletz","4 Intensive",141,522,2012
"21","Tillamook","1 Control",167,417,2012
"22","Tillamook","2 Light ",144,386,2012
"23","Tillamook","3 Moderate ",82,299,2012
"24","Tillamook","4 Intensive",89,390,2012
"25","Trask","1 Control",40,107,2012
"26","Trask","2 Light ",51,97,2012
"27","Trask","3 Moderate ",32,56,2012
"28","Trask","4 Intensive",38,81,2012
"29","Willamina","1 Control",46,72,2012
"30","Willamina","2 Light ",58,103,2012
"31","Willamina","3 Moderate ",56,126,2012
"32","Willamina","4 Intensive",55,89,2012
"33","Black Rock","1 Control",72,114,2013
"34","Black Rock","2 Light ",107,190,2013
"35","Black Rock","3 Moderate ",34,50,2013
"36","Black Rock","4 Intensive",51,86,2013
"37","Forest Grove","1 Control",109,256,2013
"38","Forest Grove","2 Light ",86,226,2013
"39","Forest Grove","3 Moderate ",78,234,2013
"40","Forest Grove","4 Intensive",50,193,2013
"41","Grande Ronde","1 Control",91,164,2013
"42","Grande Ronde","2 Light ",98,200,2013
"43","Grande Ronde","3 Moderate ",96,162,2013
"44","Grande Ronde","4 Intensive",96,195,2013
"45","Luckiamute","1 Control",58,100,2013
"46","Luckiamute","2 Light ",57,80,2013
"47","Luckiamute","3 Moderate ",68,102,2013
"48","Luckiamute","4 Intensive",39,61,2013
"49","Siletz","1 Control",95,204,2013
"50","Siletz","2 Light ",93,287,2013
"51","Siletz","3 Moderate ",89,301,2013
"52","Siletz","4 Intensive",103,462,2013
"53","Tillamook","1 Control",130,344,2013
"54","Tillamook","2 Light ",122,330,2013
"55","Tillamook","3 Moderate ",111,450,2013
"56","Tillamook","4 Intensive",97,196,2013
"57","Trask","1 Control",47,78,2013
"58","Trask","2 Light ",40,148,2013
"59","Trask","3 Moderate ",24,54,2013
"60","Trask","4 Intensive",56,130,2013
"61","Willamina","1 Control",78,124,2013
"62","Willamina","2 Light ",81,110,2013
"63","Willamina","3 Moderate ",54,98,2013
"64","Willamina","4 Intensive",41,45,2013
